release_date,followers
2010-09-07,1976734
2004-08-15,1076084
2020-05-15,3073077
2009,101239
2019-02-22,2231
2018-06-01,23529
1972-12-10,324004
2009-01-01,81529
2022-01-21,14750
2004-01-21,132908
2021-06-04,155525
2018-10-08,155525
2013-08-20,389666
2022-10-07,155525
2017-04-05,94150
2002-11-27,132908
2018-02-16,878055
2007-09-18,1656488
2021-11-12,33749
2014-05-16,9777
2022-09-09,88532
1967-01-01,466216
2005-12-20,174656
2020-04-01,18331
2013-08-23,146743
2021-11-12,33749
2016-11-28,168769
2013,8547
2015-07-31,381019
2013-10-23,875887
2020-10-09,3073077
2017-09-22,43188
2019-01-16,12965
2018-12-28,520735
2009-09-03,341604
2021-08-19,66558
2013-03-04,41540
2022-08-19,18794
2012-05-29,9069
2020-12-08,1032627
2008-11-18,25275
2016-05-16,66281
2022-07-18,2089472
2010,1032627
2019-06-28,802943
2018-08-10,7303760
2021-12-03,3073077
2011-01-01,1656488
2016-12-13,100602
2022-09-30,3073077
2013-08-02,802498
2021-05-21,1061
2014-04-15,802943
2012-04-13,7303760
2008,97782
2006-05-24,1032627
2016-09-30,2477
2021-06-16,195733
2005-01-01,450770
2016-10-14,229919
2022-01-14,36077
1971,409445
2022-10-07,155525
2018-06-22,389666
2013-02-02,146743
2011-06-07,381019
2005-01-01,450770
2007-09-18,1656488
2011-06-07,381019
2013-08-23,146743
2004-08-03,187715
2016-11-28,168769
2016-11-28,168769
2022-02-11,381019
2020-04-24,107590
2017-03-23,146743
2022-10-14,24710
2022-10-14,24710
2022-10-07,24710
2019-08-30,48864
2021-10-25,27858
2020-09-25,14750
2012-08-28,125404
2014-01-01,75510
2007-02-21,324004
2015-04-28,3073077
2022-01-07,99978
2020-02-18,4230
2015-11-13,624487
2016-05-25,132908
2020-06-26,1076084
2020-09-09,5715131
2019-11-15,101239
2019-04-25,26807
2018-08-10,7303760
2017-12-19,3073077
2020-10-21,125973
2021-10-11,3220
2020-01-17,680021
2018-03-30,99147
2017-02-10,59572
2019-05-10,1976734
2016-09-30,2477
2012,802498
2014-01-20,19862
2016-02-23,104431
2015-11-25,94150
1987-03-01,82818
2012-04-25,94150
2002-10-15,7303760
2005-02-01,636759
2022-06-11,78571
2017-03-31,154446
2022-01-21,120624
2015-04-01,17035
2014-12-02,154446
2011-01-01,3514
2016-12-30,59141
2018-01-11,9581
2013-08-23,146743
2000-01-01,189689
2014-05-06,263607
2011-01-01,59141
2021-01-11,107590
2022-02-11,381019
2022-02-11,381019
2021-11-12,5800
2013-02-02,146743
2015-07-31,381019
2017-09-12,5715131
2021-04-27,2089472
2001-01-01,82818
2019-03-29,11174
2016-12-16,680021
2013-08-20,252908
2018-02-28,2089472
2021-04-19,2926
2010-04-02,375617
2021-05-28,14227
2009-04-01,15030
2017-06-30,39884
2015-11-13,1037618
2017-09-01,25655
1989-01-01,198150
2009-05-08,802943
2020-07-10,6413
2014-09-23,9668
2019-10-11,22487
2017-08-18,21514
2014-01-21,76718
2012-01-01,7303760
2018-01-05,155525
2021-10-11,3220
2014-01-20,19862
2021-06-23,195733
2013-05-13,680021
2005-01-01,492349
2020-11-06,91911
2010-09-07,1976734
2021-10-11,27949
2006-02-20,12104
2019-03-22,15430
2009-08-11,173166
2007-09-18,1656488
2019-12-01,57728
2014-04-29,229919
2007-09-18,1656488
2013-04-02,9044
2022-02-11,381019
2022-09-09,88532
2008-05-15,263607
2016-03-04,790723
2008-05-15,263607
2006,51749
